pick,pick,natural,natural
Frozen Prison,Darkness,543,58
Blizzard Strike,Ice,578,395
Void Strike,Storm,987,841
Storm Surge,Darkness,424,271
Thunder Crash,Darkness,140,331
Lightning Bolt,Ice,532,647
Hurricane Call,Storm,801,543
Tempest Fury,Storm,768,39
Blizzard Strike,Darkness,158,0
Glacial Spike,Storm,930,752
Dark Nova,Ice,504,479
Abyssal Wrath,Ice,453,930
Winter's Wrath,Darkness,562,623
Winter's Wrath,Storm,352,234
Storm Surge,Darkness,724,6
Thunderstorm,Ice,618,747
Dark Nova,Darkness,339,177
Dark Eclipse,Storm,623,253
Ice Shard,Darkness,526,45
Nightmare Curse,Ice,122,74
Hurricane Call,Darkness,521,709
Frozen Prison,Darkness,66,864
Tempest Fury,Storm,604,708
Frozen Prison,Storm,322,792
Lightning Bolt,Darkness,364,454
Lightning Bolt,Darkness,577,822
Absolute Zero,Darkness,30,334
Frozen Prison,Storm,703,710
Ice Shard,Ice,723,155
Frostbite,Storm,822,507
Void Strike,Storm,777,927
Hurricane Call,Ice,288,412
Winter's Wrath,Darkness,809,978
Thunder Crash,Ice,980,331
Blizzard Strike,Storm,794,938
Ice Age,Ice,430,307
Dark Nova,Storm,839,828
Dark Nova,Darkness,449,256
Glacial Spike,Storm,911,903
Frostbite,Ice,199,792
Glacial Spike,Darkness,295,292
Nightmare Curse,Ice,62,820
Chain Lightning,Storm,764,841
Frozen Prison,Darkness,233,401
Dark Eclipse,Ice,527,976
Infinite Darkness,Ice,991,600
Chain Lightning,Darkness,281,903
Infinite Darkness,Ice,955,453
Absolute Zero,Storm,703,762
Infinite Darkness,Ice,315,274
Dark Nova,Ice,976,174
Infinite Darkness,Storm,96,403
Frostbite,Storm,540,170
Storm Surge,Storm,354,183
Dark Eclipse,Darkness,792,742
Nightmare Curse,Storm,927,64
Hurricane Call,Ice,1000,17
Winter's Wrath,Darkness,375,246
Void Strike,Storm,668,159
Glacial Spike,Storm,529,633
Hurricane Call,Darkness,591,459
Storm Surge,Darkness,738,378
Thunder Crash,Ice,554,71
Dark Eclipse,Ice,238,377
Dark Eclipse,Storm,637,849
Ice Shard,Storm,694,580
Ice Age,Storm,902,375
Ice Age,Darkness,371,949
Dark Eclipse,Storm,592,469
Frostbite,Darkness,215,10
Tempest Fury,Darkness,456,188
Lightning Bolt,Ice,929,242
Hurricane Call,Ice,172,550
Blizzard Strike,Ice,625,16
Dark Eclipse,Darkness,784,998
Absolute Zero,Darkness,812,208
Glacial Spike,Darkness,847,168
Glacial Spike,Ice,158,153
Dark Eclipse,Darkness,709,682
Chain Lightning,Darkness,364,255
Void Strike,Ice,352,515
Dark Nova,Darkness,96,801
Thunder Crash,Storm,916,493
Dark Nova,Ice,989,411
Thunder Crash,Ice,652,386
Blizzard Strike,Storm,780,637
Frostbite,Darkness,115,667
Nightmare Curse,Darkness,626,789
Void Strike,Storm,715,215
Void Strike,Darkness,562,676
Dark Eclipse,Ice,88,997
Thunderstorm,Darkness,636,284
Ice Shard,Storm,788,239
Infinite Darkness,Storm,124,48
Thunder Crash,Darkness,810,958
Thunder Crash,Darkness,364,125
Void Strike,Darkness,69,747
Ice Shard,Darkness,780,439
Winter's Wrath,Storm,457,187
Lightning Bolt,Ice,673,237
Nightmare Curse,Ice,178,820
Lightning Bolt,Darkness,536,308
Absolute Zero,Ice,419,247
Storm Surge,Darkness,77,759
Thunder Crash,Darkness,717,429
Thunderstorm,Ice,528,556
Tempest Fury,Darkness,351,77
Infinite Darkness,Ice,62,88
Void Strike,Storm,901,764
Abyssal Wrath,Darkness,998,83
Infinite Darkness,Darkness,154,973
Void Strike,Storm,847,351
Ice Shard,Storm,557,467
Lightning Bolt,Storm,307,765
Ice Shard,Darkness,625,254
Ice Age,Darkness,658,695
Abyssal Wrath,Storm,687,290
Frostbite,Storm,336,591
Dark Nova,Ice,363,964
Frostbite,Ice,550,547
Ice Age,Storm,865,267
Ice Shard,Darkness,470,73
Dark Nova,Darkness,153,311
Abyssal Wrath,Darkness,366,598
Glacial Spike,Storm,918,659
Abyssal Wrath,Ice,61,15
Tempest Fury,Storm,296,67
Dark Eclipse,Storm,842,119
Void Strike,Storm,174,623
Dark Nova,Darkness,326,102
Glacial Spike,Darkness,300,735
Lightning Bolt,Storm,621,448
Infinite Darkness,Darkness,798,425
Shadow Veil,Storm,802,363
Dark Nova,Ice,748,553
Blizzard Strike,Darkness,69,365
Glacial Spike,Ice,244,799
Dark Nova,Ice,736,33
Winter's Wrath,Darkness,405,892
Blizzard Strike,Ice,775,651
Nightmare Curse,Storm,850,823
Thunder Crash,Storm,669,222
Infinite Darkness,Darkness,389,722
Frozen Prison,Ice,361,580
Dark Nova,Darkness,607,699
Glacial Spike,Storm,229,231
Storm Surge,Darkness,651,564
Frozen Prison,Ice,326,310
Lightning Bolt,Storm,318,432
Infinite Darkness,Darkness,28,417
Void Strike,Darkness,3,610
Abyssal Wrath,Darkness,20,395
Winter's Wrath,Storm,316,814
Thunderstorm,Darkness,324,334
Nightmare Curse,Storm,495,639
Storm Surge,Darkness,814,684
Frostbite,Ice,826,444
Winter's Wrath,Ice,3,267
Lightning Bolt,Storm,536,740
Dark Nova,Ice,972,463
Winter's Wrath,Darkness,558,975
Infinite Darkness,Ice,959,843
Infinite Darkness,Ice,578,344
Storm Surge,Ice,376,571
Infinite Darkness,Storm,395,967
Tempest Fury,Ice,479,914
Thunder Crash,Darkness,15,472
Chain Lightning,Darkness,973,441
Nightmare Curse,Ice,97,197
Ice Age,Ice,94,563
Winter's Wrath,Ice,339,393
Blizzard Strike,Ice,93,143
Void Strike,Darkness,956,726
Frozen Prison,Ice,411,483
Nightmare Curse,Darkness,416,319
Nightmare Curse,Storm,18,163
Ice Shard,Storm,348,583
Frostbite,Darkness,17,587
Storm Surge,Ice,259,661
Winter's Wrath,Ice,774,265
Ice Shard,Darkness,785,768
Shadow Veil,Ice,944,91
Storm Surge,Storm,945,2
Absolute Zero,Storm,707,677
Absolute Zero,Storm,637,894
Dark Nova,Ice,645,94
Frozen Prison,Storm,212,727
Ice Age,Darkness,420,126
Hurricane Call,Storm,373,481
Blizzard Strike,Storm,449,138
Abyssal Wrath,Darkness,647,134
Glacial Spike,Ice,0,171
Blizzard Strike,Darkness,888,117
Void Strike,Storm,686,722
Winter's Wrath,Darkness,515,905
Nightmare Curse,Ice,756,587
Absolute Zero,Darkness,58,325
Chain Lightning,Ice,639,612
Absolute Zero,Darkness,944,440
Lightning Bolt,Ice,7,702
Lightning Bolt,Storm,989,444
Ice Shard,Ice,330,54
Abyssal Wrath,Ice,473,386
Storm Surge,Ice,505,335
Dark Eclipse,Ice,621,881
Lightning Bolt,Storm,357,944
Infinite Darkness,Storm,656,242
Thunderstorm,Storm,991,562
Blizzard Strike,Ice,850,151
Chain Lightning,Ice,19,235
Chain Lightning,Storm,832,892
Winter's Wrath,Darkness,769,626
Ice Shard,Darkness,789,505
Thunderstorm,Ice,129,800
Thunderstorm,Storm,817,871
Frozen Prison,Storm,905,764
Hurricane Call,Ice,561,878
Absolute Zero,Storm,434,751
Frostbite,Darkness,875,356
Dark Eclipse,Storm,864,895
Ice Shard,Storm,83,707
Infinite Darkness,Ice,204,261
Winter's Wrath,Ice,629,872
Ice Age,Darkness,962,341
Frozen Prison,Darkness,763,786
Winter's Wrath,Darkness,1000,644
Thunderstorm,Ice,148,887
Ice Age,Ice,481,673
Lightning Bolt,Ice,400,814
Thunderstorm,Ice,729,708
Ice Age,Ice,733,922
Abyssal Wrath,Storm,79,958
Abyssal Wrath,Storm,963,108
Dark Eclipse,Ice,457,152
Frozen Prison,Storm,549,519
Tempest Fury,Storm,382,887
Frozen Prison,Storm,294,498
Thunderstorm,Darkness,273,345
Infinite Darkness,Storm,119,683
Glacial Spike,Darkness,607,356
Storm Surge,Darkness,288,282
Storm Surge,Storm,456,704
Lightning Bolt,Storm,424,649
Absolute Zero,Ice,608,919
Blizzard Strike,Ice,641,984
Shadow Veil,Ice,260,686
Shadow Veil,Ice,965,390
Winter's Wrath,Storm,705,659
Shadow Veil,Darkness,982,328
Glacial Spike,Storm,20,644
Nightmare Curse,Darkness,945,426
Tempest Fury,Darkness,68,980
Lightning Bolt,Darkness,0,95
Lightning Bolt,Darkness,578,110
Frozen Prison,Darkness,789,978
Nightmare Curse,Storm,220,31
Infinite Darkness,Ice,444,887
Frozen Prison,Storm,947,365
Blizzard Strike,Storm,751,253
Frozen Prison,Darkness,125,675
Winter's Wrath,Darkness,662,24
Absolute Zero,Ice,178,993
Chain Lightning,Ice,622,987
Nightmare Curse,Ice,71,450
Ice Age,Darkness,674,458
Ice Shard,Ice,959,342
Frozen Prison,Storm,117,764
Dark Eclipse,Darkness,527,718
Thunder Crash,Storm,632,620
Ice Shard,Darkness,879,298
Frostbite,Ice,926,833
Shadow Veil,Darkness,303,854
Dark Eclipse,Darkness,344,742
Thunder Crash,Storm,224,356
Frozen Prison,Storm,363,953
Thunder Crash,Storm,1000,67
Dark Nova,Storm,732,964
Tempest Fury,Storm,885,704
Abyssal Wrath,Darkness,356,948
Dark Nova,Darkness,525,627
Thunderstorm,Ice,510,222
Ice Shard,Darkness,670,357
Dark Nova,Ice,766,500
Dark Nova,Ice,271,433
Infinite Darkness,Ice,227,895
Nightmare Curse,Storm,524,815
Shadow Veil,Ice,26,409
Winter's Wrath,Storm,278,617
Lightning Bolt,Darkness,118,544
Tempest Fury,Darkness,87,762
Ice Age,Ice,187,343
Dark Nova,Darkness,156,243
Absolute Zero,Darkness,687,981
Tempest Fury,Ice,151,793
Thunder Crash,Storm,403,782
Ice Shard,Ice,720,270
Void Strike,Storm,438,722
Chain Lightning,Darkness,76,910
Blizzard Strike,Darkness,908,919
Absolute Zero,Storm,863,475
Chain Lightning,Storm,390,384
Infinite Darkness,Darkness,887,498
Thunderstorm,Storm,137,779
Chain Lightning,Darkness,308,571
Infinite Darkness,Darkness,310,260
Lightning Bolt,Storm,333,768
Storm Surge,Ice,613,712
Shadow Veil,Darkness,959,557
Nightmare Curse,Ice,634,887
Void Strike,Storm,340,865
Infinite Darkness,Storm,950,531
Dark Nova,Storm,380,982
Winter's Wrath,Ice,398,961
Void Strike,Storm,82,711
Infinite Darkness,Darkness,788,63
Absolute Zero,Darkness,669,254
Dark Nova,Ice,752,892
Winter's Wrath,Darkness,804,978
Winter's Wrath,Ice,591,82
Dark Nova,Storm,124,144
Dark Eclipse,Darkness,559,56
Ice Age,Storm,287,421
Dark Nova,Ice,348,111
Hurricane Call,Storm,562,137
Dark Nova,Darkness,377,352
Storm Surge,Darkness,74,329
Thunder Crash,Ice,732,685
Tempest Fury,Storm,96,79
Lightning Bolt,Ice,834,764
Shadow Veil,Ice,511,791
Frostbite,Ice,938,506
Absolute Zero,Storm,656,15
Void Strike,Ice,801,596
Ice Age,Storm,722,867
Dark Eclipse,Storm,837,74
Frostbite,Storm,440,319
Chain Lightning,Ice,89,377
Chain Lightning,Ice,289,806
Tempest Fury,Darkness,710,869
Hurricane Call,Ice,151,129
Thunder Crash,Darkness,930,620
Hurricane Call,Darkness,319,379
Blizzard Strike,Darkness,177,8
Glacial Spike,Ice,807,630
Void Strike,Darkness,990,257
Tempest Fury,Ice,582,802
Void Strike,Darkness,737,93
Dark Eclipse,Darkness,44,408
Tempest Fury,Ice,750,565
Blizzard Strike,Storm,5,986
Thunderstorm,Darkness,420,971
Glacial Spike,Darkness,362,95
Dark Eclipse,Storm,794,104
Absolute Zero,Ice,765,85
Abyssal Wrath,Darkness,575,54
Frostbite,Ice,108,873
Void Strike,Darkness,986,544
Dark Eclipse,Darkness,521,808
Abyssal Wrath,Storm,645,41
Ice Shard,Darkness,945,663
Tempest Fury,Storm,944,806
Ice Age,Ice,989,98
Tempest Fury,Ice,426,760
Storm Surge,Ice,781,575
Glacial Spike,Storm,956,929
Lightning Bolt,Ice,304,260
Infinite Darkness,Darkness,81,787
Absolute Zero,Ice,173,372
Frozen Prison,Storm,413,373
Frozen Prison,Ice,619,779
Ice Age,Ice,557,886
Hurricane Call,Storm,847,423
Glacial Spike,Darkness,723,515
Dark Nova,Ice,119,636
Storm Surge,Ice,543,700
Absolute Zero,Storm,516,171
Thunder Crash,Ice,287,408
Glacial Spike,Ice,685,15
Lightning Bolt,Darkness,758,550
Abyssal Wrath,Storm,2,768
Glacial Spike,Storm,611,875
Tempest Fury,Storm,140,999
Dark Nova,Ice,510,855
Ice Shard,Ice,148,609
Blizzard Strike,Ice,526,997
Tempest Fury,Darkness,187,856
Tempest Fury,Ice,295,993
Ice Shard,Ice,599,718
Storm Surge,Darkness,811,655
Dark Nova,Storm,692,209
Frozen Prison,Ice,717,422
Absolute Zero,Ice,597,173
Abyssal Wrath,Darkness,377,203
Thunderstorm,Darkness,27,655
Shadow Veil,Storm,500,897
Hurricane Call,Darkness,525,471
Ice Shard,Storm,876,108
Absolute Zero,Darkness,697,94
Tempest Fury,Storm,752,740
Hurricane Call,Storm,989,878
Infinite Darkness,Ice,464,90
Dark Nova,Darkness,779,706
Thunderstorm,Darkness,594,194
Infinite Darkness,Ice,232,821
Blizzard Strike,Ice,78,385
Ice Age,Storm,601,63
Dark Nova,Storm,52,597
Absolute Zero,Darkness,718,103
Dark Nova,Ice,873,145
Frostbite,Storm,857,898
Thunderstorm,Darkness,115,479
Infinite Darkness,Darkness,11,617
Nightmare Curse,Darkness,329,364
Chain Lightning,Ice,400,254
Ice Age,Ice,959,720
Blizzard Strike,Darkness,774,667
Thunder Crash,Storm,93,215
Ice Shard,Ice,40,988
Dark Nova,Darkness,974,120
Ice Age,Ice,966,660
Dark Eclipse,Ice,968,118
Shadow Veil,Darkness,752,145
Storm Surge,Storm,177,22
Absolute Zero,Storm,373,632
Storm Surge,Ice,909,371
Shadow Veil,Ice,167,183
Thunder Crash,Darkness,434,341
Lightning Bolt,Storm,272,521
Thunderstorm,Darkness,935,430
Thunder Crash,Darkness,868,433
Glacial Spike,Ice,531,699
Ice Shard,Storm,304,738
Lightning Bolt,Darkness,356,917
Abyssal Wrath,Storm,911,733
Shadow Veil,Ice,370,550
Lightning Bolt,Ice,420,829
Void Strike,Ice,890,569
Chain Lightning,Darkness,631,279
Glacial Spike,Ice,869,252
Dark Nova,Ice,999,919
Blizzard Strike,Ice,826,397
Blizzard Strike,Darkness,42,845
Infinite Darkness,Darkness,639,651
Ice Shard,Darkness,28,373
Hurricane Call,Ice,491,526
Lightning Bolt,Ice,825,779
Blizzard Strike,Ice,50,49
Storm Surge,Darkness,195,871
Dark Nova,Ice,483,319
Void Strike,Storm,707,311
Absolute Zero,Storm,244,509
Blizzard Strike,Ice,47,164
Glacial Spike,Darkness,448,306
Winter's Wrath,Storm,141,503
Ice Age,Storm,895,220
Frostbite,Storm,833,1
Glacial Spike,Storm,566,1000
Dark Eclipse,Ice,137,490
Storm Surge,Storm,310,462
Dark Eclipse,Ice,572,910
Absolute Zero,Ice,320,748
Dark Nova,Darkness,685,81
Nightmare Curse,Darkness,572,146
Thunder Crash,Darkness,64,885
Void Strike,Darkness,186,244
Blizzard Strike,Storm,169,689
Ice Age,Storm,622,526
Winter's Wrath,Darkness,360,756
Dark Eclipse,Darkness,257,667
Thunder Crash,Darkness,19,440
Abyssal Wrath,Darkness,191,354
Glacial Spike,Ice,208,39
Abyssal Wrath,Darkness,213,881
Tempest Fury,Ice,779,975
Abyssal Wrath,Ice,790,726
Shadow Veil,Ice,837,486
Thunder Crash,Ice,794,317
Absolute Zero,Ice,217,994
Tempest Fury,Storm,701,910
Thunder Crash,Storm,879,652
Lightning Bolt,Storm,262,149
Chain Lightning,Darkness,546,962
Nightmare Curse,Ice,312,68
Frostbite,Ice,219,24
Frozen Prison,Ice,901,465
Frostbite,Storm,653,152
Tempest Fury,Ice,553,66
Ice Shard,Darkness,369,61
Tempest Fury,Storm,722,448
Thunder Crash,Ice,121,426
Hurricane Call,Storm,429,744
Lightning Bolt,Darkness,588,896
Nightmare Curse,Darkness,127,976
Dark Eclipse,Darkness,475,921
Dark Eclipse,Ice,331,589
Absolute Zero,Darkness,433,366
Frostbite,Darkness,320,787
Storm Surge,Darkness,188,723
Lightning Bolt,Ice,248,362
Dark Eclipse,Darkness,360,351
Blizzard Strike,Ice,682,858
Chain Lightning,Ice,543,758
Abyssal Wrath,Storm,919,462
Absolute Zero,Darkness,518,279
Ice Shard,Darkness,435,65
Winter's Wrath,Storm,271,725
Frostbite,Darkness,817,957
Dark Nova,Storm,384,267
Blizzard Strike,Darkness,350,541
Ice Shard,Darkness,914,475
Infinite Darkness,Storm,370,710
Abyssal Wrath,Ice,125,179
Chain Lightning,Darkness,980,41
Thunder Crash,Ice,172,916
Thunderstorm,Darkness,444,168
Nightmare Curse,Ice,825,263
Tempest Fury,Darkness,722,499
Nightmare Curse,Darkness,157,190
Glacial Spike,Storm,732,314
Chain Lightning,Storm,547,570
Glacial Spike,Ice,935,979
Ice Age,Storm,724,559
Infinite Darkness,Ice,931,712
Absolute Zero,Storm,984,579
Dark Nova,Darkness,561,324
Nightmare Curse,Storm,676,956
Infinite Darkness,Darkness,167,59
Shadow Veil,Ice,125,913
Shadow Veil,Darkness,832,812
Hurricane Call,Ice,12,141
Abyssal Wrath,Ice,793,739
Winter's Wrath,Darkness,283,657
Nightmare Curse,Darkness,280,613
Abyssal Wrath,Storm,698,311
Infinite Darkness,Darkness,125,495
Ice Shard,Ice,110,52
Glacial Spike,Storm,698,237
Blizzard Strike,Storm,266,404
Frostbite,Ice,757,863
Thunderstorm,Storm,238,240
Thunder Crash,Darkness,962,754
Tempest Fury,Darkness,403,914
Frostbite,Darkness,300,907
Lightning Bolt,Storm,930,877
Dark Nova,Storm,802,420
Hurricane Call,Darkness,383,575
Tempest Fury,Darkness,788,570
Glacial Spike,Storm,453,685
Frozen Prison,Storm,346,274
Abyssal Wrath,Ice,446,328
Ice Age,Darkness,440,286
Dark Nova,Darkness,267,19
Shadow Veil,Darkness,430,552
Tempest Fury,Darkness,183,440
Tempest Fury,Ice,265,66
Chain Lightning,Ice,338,25
Glacial Spike,Storm,699,429
Dark Nova,Darkness,158,126
Blizzard Strike,Darkness,32,390
Chain Lightning,Storm,217,461
Shadow Veil,Darkness,246,766
Tempest Fury,Storm,740,35
Thunderstorm,Ice,106,166
Chain Lightning,Darkness,29,421
Ice Shard,Storm,985,299
Absolute Zero,Storm,192,1000
Ice Shard,Ice,260,828
Shadow Veil,Darkness,983,52
Winter's Wrath,Storm,412,999
Glacial Spike,Ice,600,150
Infinite Darkness,Darkness,537,295
Thunderstorm,Darkness,474,47
Nightmare Curse,Ice,453,163
Void Strike,Storm,530,300
Frostbite,Storm,963,594
Tempest Fury,Storm,988,225
Thunderstorm,Ice,673,404
Frozen Prison,Ice,900,674
Winter's Wrath,Storm,983,483
Shadow Veil,Ice,625,230
Blizzard Strike,Darkness,568,912
Thunder Crash,Darkness,399,444
Dark Nova,Ice,222,755
Tempest Fury,Ice,495,672
Frozen Prison,Darkness,33,6
Thunder Crash,Darkness,984,310
Absolute Zero,Darkness,642,581
Chain Lightning,Storm,293,512
Tempest Fury,Storm,971,346
Void Strike,Storm,252,551
Chain Lightning,Darkness,900,46
Chain Lightning,Storm,806,294
Glacial Spike,Storm,570,807
Dark Eclipse,Storm,131,183
Ice Shard,Ice,282,142
Void Strike,Darkness,311,541
Ice Shard,Ice,674,214
Winter's Wrath,Storm,743,984
Infinite Darkness,Darkness,545,70
Dark Nova,Storm,255,404
Blizzard Strike,Storm,590,64
Blizzard Strike,Ice,247,891
Thunder Crash,Storm,333,656
Shadow Veil,Ice,362,640
Ice Shard,Ice,274,772
Tempest Fury,Darkness,549,933
Hurricane Call,Storm,285,469
Chain Lightning,Ice,389,676
Ice Shard,Darkness,162,22
Winter's Wrath,Storm,376,854
Absolute Zero,Darkness,196,595
Storm Surge,Ice,419,311
Nightmare Curse,Darkness,510,17
Winter's Wrath,Storm,862,236
Dark Eclipse,Storm,906,870
Ice Shard,Storm,678,26
Chain Lightning,Darkness,391,225
Frozen Prison,Darkness,604,342
Tempest Fury,Ice,414,668
Tempest Fury,Ice,376,463
Lightning Bolt,Storm,103,829
Dark Nova,Storm,528,142
Frostbite,Ice,522,255
Ice Shard,Ice,938,935
Frozen Prison,Darkness,311,527
Winter's Wrath,Storm,885,295
Tempest Fury,Storm,174,516
Dark Nova,Storm,618,647
Thunder Crash,Ice,871,494
Frozen Prison,Storm,502,886
Ice Shard,Ice,511,878
Absolute Zero,Darkness,458,114
Dark Nova,Ice,143,461
Tempest Fury,Ice,135,721
Tempest Fury,Ice,171,291
Abyssal Wrath,Ice,802,604
Ice Age,Ice,278,542
Frozen Prison,Ice,367,594
Chain Lightning,Ice,791,859
Void Strike,Darkness,807,602
Storm Surge,Darkness,666,0
Thunderstorm,Ice,586,855
Ice Age,Storm,944,138
Void Strike,Storm,923,862
Hurricane Call,Storm,904,401
Thunder Crash,Darkness,660,692
Frozen Prison,Storm,503,708
Blizzard Strike,Darkness,852,288
Tempest Fury,Ice,336,333
Thunderstorm,Darkness,316,503
Ice Age,Ice,882,254
Tempest Fury,Ice,622,775
Shadow Veil,Darkness,797,549
Storm Surge,Storm,445,506
Ice Age,Storm,502,417
Thunder Crash,Storm,796,736
Winter's Wrath,Ice,1000,824
Blizzard Strike,Darkness,470,2
Tempest Fury,Ice,429,21
Thunder Crash,Darkness,47,853
Blizzard Strike,Storm,169,183
Thunderstorm,Ice,659,34
Tempest Fury,Storm,499,84
Hurricane Call,Storm,901,825
Winter's Wrath,Storm,739,609
Void Strike,Storm,650,828
Thunder Crash,Storm,578,598
Ice Age,Darkness,304,268
Void Strike,Storm,34,501
Tempest Fury,Darkness,481,46
Chain Lightning,Storm,827,536
Frostbite,Ice,939,662
Thunder Crash,Ice,647,579
Frozen Prison,Storm,350,492
Ice Shard,Storm,372,164
Dark Eclipse,Ice,762,139
Shadow Veil,Ice,8,904
Shadow Veil,Darkness,399,738
Thunder Crash,Storm,616,860
Frostbite,Storm,480,495
Blizzard Strike,Storm,488,855
Ice Shard,Darkness,522,840
Absolute Zero,Darkness,149,769
Infinite Darkness,Storm,711,543
Chain Lightning,Darkness,42,544
Shadow Veil,Darkness,855,988
Infinite Darkness,Ice,321,910
Frozen Prison,Darkness,889,683
Frostbite,Darkness,523,796
Lightning Bolt,Darkness,760,337
Dark Nova,Darkness,338,20
Abyssal Wrath,Storm,228,913
Storm Surge,Ice,961,310
Shadow Veil,Darkness,560,388
Lightning Bolt,Ice,501,858
Dark Eclipse,Darkness,154,21
Abyssal Wrath,Darkness,785,501
Blizzard Strike,Darkness,823,710
Infinite Darkness,Storm,333,684
Ice Shard,Darkness,583,143
Abyssal Wrath,Darkness,888,164
Lightning Bolt,Storm,951,406
Abyssal Wrath,Storm,630,936
Nightmare Curse,Storm,32,15
Dark Nova,Storm,444,262
Abyssal Wrath,Darkness,319,251
Winter's Wrath,Darkness,721,824
Thunder Crash,Ice,376,743
Storm Surge,Ice,552,515
Frostbite,Darkness,471,48
Frozen Prison,Ice,517,295
Dark Nova,Storm,925,176
Lightning Bolt,Storm,35,157
Nightmare Curse,Ice,300,837
Hurricane Call,Storm,749,901
Void Strike,Darkness,794,425
Tempest Fury,Darkness,739,13
Tempest Fury,Storm,146,691
Shadow Veil,Ice,612,38
Ice Shard,Ice,634,978
Glacial Spike,Darkness,211,662
Abyssal Wrath,Ice,639,535
Tempest Fury,Darkness,744,981
Winter's Wrath,Ice,573,722
Ice Shard,Ice,767,673
Tempest Fury,Storm,554,136
Nightmare Curse,Storm,960,200
Hurricane Call,Storm,534,505
Blizzard Strike,Storm,711,643
Dark Eclipse,Darkness,855,129
Void Strike,Darkness,819,756
Hurricane Call,Storm,374,319
Frozen Prison,Darkness,70,13
Abyssal Wrath,Darkness,172,801
Frostbite,Darkness,748,923
Shadow Veil,Storm,426,32
Frostbite,Ice,716,232
Chain Lightning,Ice,967,202
Ice Shard,Ice,374,893
Absolute Zero,Darkness,477,180
Hurricane Call,Storm,999,992
Frostbite,Ice,487,869
Storm Surge,Ice,280,976
Dark Eclipse,Darkness,402,47
Hurricane Call,Ice,816,649
Storm Surge,Darkness,896,395
Shadow Veil,Darkness,405,762
Infinite Darkness,Ice,727,591
Hurricane Call,Storm,857,382
Ice Shard,Storm,748,873
Void Strike,Storm,364,200
Shadow Veil,Storm,341,599
Nightmare Curse,Darkness,762,582
Infinite Darkness,Darkness,20,233
Shadow Veil,Darkness,593,582
Infinite Darkness,Storm,486,47
Ice Shard,Ice,178,123
Hurricane Call,Ice,681,524
Infinite Darkness,Darkness,143,746
Nightmare Curse,Ice,401,164
Dark Nova,Ice,560,904
Frostbite,Storm,601,183
Infinite Darkness,Ice,452,324
Thunderstorm,Ice,900,892
Infinite Darkness,Ice,684,96
Thunderstorm,Darkness,57,52
Frostbite,Darkness,451,863
Frostbite,Darkness,305,116
Nightmare Curse,Ice,629,621
Frozen Prison,Darkness,561,757
Winter's Wrath,Ice,504,94
Blizzard Strike,Ice,884,702
Dark Nova,Storm,578,960
Storm Surge,Ice,835,282
Dark Nova,Ice,981,840
Shadow Veil,Storm,86,644
Blizzard Strike,Ice,621,985
Dark Nova,Darkness,571,152
Infinite Darkness,Darkness,386,548
Thunder Crash,Darkness,655,987
Thunderstorm,Darkness,752,224
Ice Age,Storm,374,263
Absolute Zero,Darkness,566,837
Void Strike,Ice,823,328
Frozen Prison,Storm,706,206
Storm Surge,Storm,952,178
Ice Age,Storm,577,996
Blizzard Strike,Darkness,996,812
Dark Eclipse,Darkness,508,885
Blizzard Strike,Storm,974,848
Frozen Prison,Darkness,252,634
Nightmare Curse,Storm,646,626
Storm Surge,Storm,755,886
Frozen Prison,Darkness,343,44
Shadow Veil,Storm,438,319
Abyssal Wrath,Ice,554,160
Thunderstorm,Storm,533,199
Thunderstorm,Ice,839,642
Absolute Zero,Storm,469,797
Thunder Crash,Storm,131,765
Dark Eclipse,Ice,865,567
Shadow Veil,Ice,157,447
Blizzard Strike,Ice,606,521
Shadow Veil,Ice,54,145
Blizzard Strike,Ice,872,461
Blizzard Strike,Darkness,338,978
Blizzard Strike,Ice,904,796
Ice Age,Darkness,478,698
Infinite Darkness,Storm,362,217
Absolute Zero,Storm,864,11
Void Strike,Ice,950,205
Winter's Wrath,Darkness,25,739
Dark Nova,Darkness,705,86
Dark Eclipse,Darkness,135,514
Abyssal Wrath,Storm,183,870
Frozen Prison,Storm,38,528
Ice Shard,Storm,255,188
Thunder Crash,Storm,499,689
Hurricane Call,Storm,88,55
Dark Eclipse,Darkness,453,956
Ice Shard,Darkness,514,353
Dark Nova,Ice,444,701
Shadow Veil,Storm,968,107
Shadow Veil,Ice,28,40
Void Strike,Storm,995,887
Lightning Bolt,Storm,999,764
Void Strike,Storm,504,386
Void Strike,Darkness,921,661
Infinite Darkness,Storm,351,623
Dark Nova,Ice,768,134
Dark Eclipse,Darkness,551,576
Tempest Fury,Darkness,819,922
Lightning Bolt,Storm,819,213
Void Strike,Storm,810,769
Lightning Bolt,Ice,661,877
Nightmare Curse,Ice,419,328
Winter's Wrath,Storm,698,44
Winter's Wrath,Darkness,87,495
Tempest Fury,Ice,796,409
Tempest Fury,Darkness,899,896
Ice Shard,Darkness,627,974
Absolute Zero,Storm,573,739
Infinite Darkness,Darkness,240,927
Dark Nova,Darkness,334,197
Ice Shard,Ice,760,201
Hurricane Call,Darkness,206,302
Hurricane Call,Ice,425,450
Thunderstorm,Darkness,181,953
Frostbite,Ice,284,91
Shadow Veil,Darkness,264,316
Absolute Zero,Darkness,920,933
Tempest Fury,Storm,779,164
Hurricane Call,Darkness,260,112
Void Strike,Ice,108,296
Tempest Fury,Storm,762,351
Thunder Crash,Darkness,963,98
Dark Nova,Darkness,22,109
